,key_0,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,Delay,predicted_payment_date,bucketed_delay
46,46,U001,0200704045,RA us,,2020.0,1930580275.0,2020-02-28,2020-02-28,2020-02-28,2020-03-14,USD,RV,17083.06,20200228.0,NAA8,1930580275.0,0,2020-03-14,null
47,47,U001,0200704045,RA us,,2020.0,1930699302.0,2020-03-24,2020-03-25,2020-03-24,2020-04-08,USD,RV,106792.42,20200324.0,NAA8,1930699302.0,0,2020-04-08,null
48,48,U001,0200455322,PEA llc,,2020.0,1930718656.0,2020-03-31,2020-03-30,2020-03-31,2020-04-30,USD,RV,47619.12,20200331.0,NAD5,1930718656.0,1,2020-05-01,+ve
49,49,U001,0200769623,WAL-MAR corporation,,2020.0,1930664202.0,2020-03-17,2020-03-17,2020-03-17,2020-04-01,USD,RV,3228.13,20200317.0,NAH4,1930664202.0,1,2020-04-02,+ve
50,50,U001,0200704045,RA llc,,2020.0,1930694030.0,2020-03-24,2020-03-24,2020-03-24,2020-04-08,USD,RV,2242.4,20200324.0,NAA8,1930694030.0,0,2020-04-08,null
51,51,U001,0200726979,BJ'S  us,,2020.0,1930808705.0,2020-04-23,2020-04-21,2020-04-23,2020-05-08,USD,RV,44124.35,20200423.0,NAA8,1930808705.0,0,2020-05-08,null
52,52,U001,0200769623,WAL-MAR associates,,2020.0,1930831177.0,2020-04-28,2020-04-27,2020-04-28,2020-05-13,USD,RV,5601.67,20200428.0,NAH4,1930831177.0,1,2020-05-14,+ve
53,53,U001,0200769623,WAL-MAR us,,2020.0,1930794718.0,2020-04-16,2020-04-16,2020-04-16,2020-05-01,USD,RV,22593.02,20200416.0,NAH4,1930794718.0,1,2020-05-02,+ve
54,54,U001,0200744019,TARG us,,2020.0,1930778623.0,2020-04-12,2020-04-11,2020-04-12,2020-04-27,USD,RV,3033.14,20200412.0,NAA8,1930778623.0,0,2020-04-27,null
55,55,U001,0200793830,M llc,,2020.0,1930891844.0,2020-05-11,2020-05-12,2020-05-11,2020-05-26,USD,RV,45860.05,20200511.0,NAA8,1930891844.0,0,2020-05-26,null
56,56,U001,0200769623,WAL-MAR llc,,2020.0,1930847418.0,2020-05-01,2020-05-01,2020-05-01,2020-05-16,USD,RV,35526.81,20200501.0,NAH4,1930847418.0,1,2020-05-17,+ve
57,57,U001,200765011,MAINES systems,,2020.0,1930914515.0,2020-05-18,2020-05-18,2020-05-18,2020-06-02,USD,RV,16099.2,20200518.0,NAA8,1930914515.0,-1,2020-06-01,null
58,58,U001,0200762301,C&S WH llc,,2020.0,1930641685.0,2020-03-12,2020-03-12,2020-03-12,2020-05-16,USD,RV,1059.09,20200312.0,NAGD,1930641685.0,0,2020-05-16,null
59,59,U001,0200794332,COST us,,2020.0,1930765226.0,2020-04-04,2020-04-08,2020-04-04,2020-04-19,USD,RV,38698.27,20200404.0,NAAX,1930765226.0,1,2020-04-20,+ve
60,60,U001,0200704858,WAKE llc,,2020.0,1930637627.0,2020-03-12,2020-03-11,2020-03-12,2020-05-16,USD,RV,31884.07,20200312.0,NAGD,1930637627.0,0,2020-05-16,null
61,61,U001,0100050962,HIGHLAN ,,2020.0,1930650620.0,2020-03-13,2020-03-13,2020-03-13,2020-04-12,USD,RV,6468.0,20200313.0,NAD5,1930650620.0,1,2020-04-13,+ve
62,62,U001,0200744019,TARG co,,2020.0,1930708919.0,2020-03-27,2020-03-26,2020-03-27,2020-04-11,USD,RV,23791.59,20200327.0,NAA8,1930708919.0,0,2020-04-11,null
63,63,U001,0200920735,ALBERT associates,,2020.0,1930708901.0,2020-03-27,2020-03-26,2020-03-27,2020-04-11,USD,RV,93623.61,20200327.0,NAA8,1930708901.0,0,2020-04-11,null
64,64,U001,0200705742,DOT foundation,,2020.0,1930774855.0,2020-04-11,2020-04-10,2020-04-11,2020-05-15,USD,RV,38348.69,20200411.0,NAAW,1930774855.0,0,2020-05-15,null
65,65,U001,0200148860,DOLLA associates,,2020.0,1930774453.0,2020-04-12,2020-04-10,2020-04-12,2020-04-27,USD,RV,15367.37,20200412.0,NAA8,1930774453.0,0,2020-04-27,null
66,66,U001,200759878,SA corporation,,2020.0,1930692694.0,2020-03-25,2020-03-24,2020-03-25,2020-04-09,USD,RV,15441.88,20200325.0,NAH4,1930692694.0,0,2020-04-09,null
67,67,U001,0200772670,ASSOCIAT co,,2020.0,1930828281.0,2020-04-26,2020-04-27,2020-04-26,2020-05-11,USD,RV,63880.51,20200426.0,NAU5,1930828281.0,1,2020-05-12,+ve
68,68,U001,0200762301,C&S WH systems,,2020.0,1930581757.0,2020-02-28,2020-02-28,2020-02-28,2020-03-14,USD,RV,65168.74,20200228.0,NAC6,1930581757.0,1,2020-03-15,+ve
69,69,U001,0200704045,RA corporation,,2020.0,1930654086.0,2020-03-15,2020-03-15,2020-03-15,2020-03-30,USD,RV,13818.74,20200315.0,NAA8,1930654086.0,0,2020-03-30,null
70,70,U001,0200418007,AM trust,,2020.0,1930622195.0,2020-03-09,2020-03-09,2020-03-09,2020-03-24,USD,RV,3232.64,20200309.0,NAA8,1930622195.0,0,2020-03-24,null
71,71,CA02,0140104409,LOB in,,2020.0,2960624922.0,2020-03-30,2020-03-30,2020-03-30,2020-04-09,CAD,RV,32915.42,20200330.0,CA10,2960624922.0,-4,2020-04-05,null
72,72,U001,0200416837,DEC ,,2020.0,1930672427.0,2020-03-20,2020-03-20,2020-03-20,2020-03-26,USD,RV,2457.37,20200316.0,NAM2,1930672427.0,1,2020-03-27,+ve
73,73,U001,0200769623,WAL-MAR associates,,2020.0,1930682331.0,2020-03-21,2020-03-21,2020-03-21,2020-04-05,USD,RV,6807.61,20200321.0,NAH4,1930682331.0,1,2020-04-06,+ve
74,74,CA02,0140104409,LOB us,,2020.0,2960628877.0,2020-04-19,2020-04-19,2020-04-19,2020-05-08,CAD,RV,123809.85,20200428.0,CA10,2960628877.0,-4,2020-05-04,null
75,75,U001,0200704045,RA foundation,,2020.0,1930651689.0,2020-03-14,2020-03-14,2020-03-14,2020-03-29,USD,RV,28917.48,20200314.0,NAA8,1930651689.0,0,2020-03-29,null
76,76,U001,0200779906,BOZZU trust,,2020.0,1930802345.0,2020-04-20,2020-04-20,2020-04-20,2020-05-05,USD,RV,73960.48,20200420.0,NAA8,1930802345.0,0,2020-05-05,null
77,77,U001,0200793830,M trust,,2020.0,1930593064.0,2020-03-02,2020-03-03,2020-03-02,2020-03-17,USD,RV,60903.55,20200302.0,NAA8,1930593064.0,0,2020-03-17,null
78,78,CA02,140104440,SO corp,,2020.0,2960628362.0,2020-04-23,2020-04-23,2020-04-23,2020-05-05,CAD,RV,155194.3,20200425.0,CA10,2960628362.0,-4,2020-05-01,null
79,79,CA02,0140106408,WAL-M in,,2020.0,2960625208.0,2020-03-28,2020-03-28,2020-03-28,2020-04-07,CAD,RV,22137.03,20200328.0,CA10,2960625208.0,-4,2020-04-03,null
80,80,U001,200794332,COST in,,2020.0,1930857799.0,2020-05-06,2020-05-05,2020-05-06,2020-05-21,USD,RV,16359.15,20200506.0,NAAX,1930857799.0,1,2020-05-22,+ve
81,81,U001,0200793088,DEMOU ,,2020.0,1930780848.0,2020-04-16,2020-04-13,2020-04-16,2020-05-01,USD,RV,21237.5,20200416.0,NAA8,1930780848.0,0,2020-05-01,null
82,82,U001,0200592182,DECA corp,,2020.0,1930792358.0,2020-04-16,2020-04-16,2020-04-16,2020-04-24,USD,RV,1887.23,20200401.0,NAM4,1930792358.0,1,2020-04-25,+ve
83,83,U001,100001196,DOLLAR corporation,,2020.0,1930855249.0,2020-05-05,2020-05-03,2020-05-05,2020-05-20,USD,RV,6057.94,20200505.0,NAA8,1930855249.0,0,2020-05-20,null
84,84,U001,0200769623,WAL-MAR corp,,2020.0,1930731275.0,2020-04-02,2020-04-02,2020-04-02,2020-04-17,USD,RV,58773.49,20200402.0,NAH4,1930731275.0,1,2020-04-18,+ve
85,85,CA02,0140104409,LOB foundation,,2020.0,2960632870.0,2020-05-08,2020-05-08,2020-05-08,2020-05-18,CAD,RV,58037.4,20200508.0,CA10,2960632870.0,-3,2020-05-15,null
86,86,U001,0100031704,DELHAIZE corp,,2020.0,1930729113.0,2020-04-02,2020-04-01,2020-04-02,2020-04-17,USD,RV,95115.43,20200402.0,NAA8,1930729113.0,0,2020-04-17,null
87,87,U001,0200769623,WAL-MAR llc,,2020.0,1930720370.0,2020-03-30,2020-03-30,2020-03-30,2020-04-14,USD,RV,39830.55,20200330.0,NAH4,1930720370.0,1,2020-04-15,+ve
88,88,U001,200769623,WAL-MAR ,,2020.0,1930882454.0,2020-05-08,2020-05-09,2020-05-08,2020-05-23,USD,RV,7518.33,20200508.0,NAH4,1930882454.0,2,2020-05-25,+ve
89,89,U001,200769623,WAL-MAR us,,2020.0,1930682100.0,2020-03-21,2020-03-20,2020-03-21,2020-04-05,USD,RV,44320.65,20200321.0,NAH4,1930682100.0,2,2020-04-07,+ve
90,90,CA02,0140105686,SYSC corp,,2020.0,2960620893.0,2020-03-15,2020-03-15,2020-03-15,2020-04-03,CAD,RV,41161.63,20200324.0,CA10,2960620893.0,-4,2020-03-30,null
91,91,U001,0200762301,C&S WH corp,,2020.0,1930753610.0,2020-04-07,2020-04-06,2020-04-07,2020-04-22,USD,RV,11980.84,20200407.0,NAC6,1930753610.0,1,2020-04-23,+ve
92,92,U001,0200793568,SUPE corp,,2020.0,1930858085.0,2020-05-06,2020-05-05,2020-05-06,2020-05-21,USD,RV,2625.7,20200506.0,NAA8,1930858085.0,0,2020-05-21,null
93,93,U001,0200726979,BJ'S  co,,2020.0,1930689718.0,2020-03-24,2020-03-23,2020-03-24,2020-04-08,USD,RV,1797.93,20200324.0,NAA8,1930689718.0,0,2020-04-08,null
94,94,U001,0200739534,OK trust,,2020.0,1930647708.0,2020-03-13,2020-03-13,2020-03-13,2020-03-28,USD,RV,80594.31,20200313.0,NAA8,1930647708.0,0,2020-03-28,null
95,95,U001,0200555117,BURR foundation,,2020.0,1930758476.0,2020-04-10,2020-04-07,2020-04-10,2020-04-25,USD,RV,90212.72,20200410.0,NAA8,1930758476.0,0,2020-04-25,null
96,96,U001,0200700919,US  corp,,2020.0,1930630378.0,2020-03-10,2020-03-10,2020-03-10,2020-03-25,USD,RV,48516.07,20200310.0,NAA8,1930630378.0,0,2020-03-25,null
97,97,U001,0200759082,INGL in,,2020.0,1930783082.0,2020-04-14,2020-04-14,2020-04-14,2020-04-29,USD,RV,35516.63,20200414.0,NAA8,1930783082.0,0,2020-04-29,null
98,98,U001,0200769623,WAL-MAR trust,,2020.0,1930880605.0,2020-05-11,2020-05-08,2020-05-11,2020-05-26,USD,RV,63830.75,20200511.0,NAH4,1930880605.0,1,2020-05-27,+ve
99,99,U001,0200418007,AM in,,2020.0,1930764257.0,2020-04-16,2020-04-08,2020-04-16,2020-05-01,USD,RV,2498.27,20200416.0,NAA8,1930764257.0,0,2020-05-01,null
100,100,U001,0200803720,DEC in,,2020.0,1930817948.0,2020-04-23,2020-04-23,2020-04-23,2020-04-11,USD,RV,5500.87,20200401.0,NAM2,1930817948.0,1,2020-04-12,+ve
101,101,U001,0200769623,WAL-MAR corporation,,2020.0,1930571224.0,2020-02-28,2020-02-26,2020-02-28,2020-03-14,USD,RV,57240.2,20200228.0,NAH4,1930571224.0,1,2020-03-15,+ve
102,102,U001,0200769623,WAL-MAR foundation,,2020.0,1930735270.0,2020-04-03,2020-04-02,2020-04-03,2020-04-18,USD,RV,6640.59,20200403.0,NAH4,1930735270.0,1,2020-04-19,+ve
103,103,U001,0200707822,PUBLI llc,,2020.0,1930622661.0,2020-03-08,2020-03-08,2020-03-08,2020-03-23,USD,RV,101312.86,20200308.0,NAA8,1930622661.0,0,2020-03-23,null
104,104,U001,0200769623,WAL-MAR llc,,2020.0,1930601195.0,2020-03-05,2020-03-04,2020-03-05,2020-03-20,USD,RV,1314.56,20200305.0,NAH4,1930601195.0,1,2020-03-21,+ve
105,105,U001,0100000222,SMITHFIE co,,2020.0,1930630618.0,2020-03-13,2020-03-10,2020-03-13,2020-03-28,USD,RV,13374.78,20200313.0,NAA8,1930630618.0,0,2020-03-28,null
106,106,U001,0200769623,WAL-MAR foundation,,2020.0,1930826803.0,2020-04-27,2020-04-25,2020-04-27,2020-05-12,USD,RV,38745.0,20200427.0,NAH4,1930826803.0,1,2020-05-13,+ve
107,107,U001,0200769623,WAL-MAR foundation,,2020.0,1930684110.0,2020-03-21,2020-03-21,2020-03-21,2020-04-05,USD,RV,42057.62,20200321.0,NAH4,1930684110.0,1,2020-04-06,+ve
108,108,U001,0200783734,FAREW us,,2020.0,1930709140.0,2020-03-26,2020-03-27,2020-03-26,2020-04-10,USD,RV,9066.55,20200326.0,NAA8,1930709140.0,0,2020-04-10,null
109,109,U001,0200794332,COST ,,2020.0,1930747677.0,2020-04-09,2020-04-05,2020-04-09,2020-04-24,USD,RV,35398.58,20200409.0,NAAX,1930747677.0,1,2020-04-25,+ve
110,110,U001,0100036062,MID S corporation,,2020.0,1930647877.0,2020-03-13,2020-03-13,2020-03-13,2020-03-23,USD,RV,24355.2,20200313.0,NA10,1930647877.0,1,2020-03-24,+ve
111,111,U001,0200793513,KROGER systems,,2020.0,1930748201.0,2020-04-04,2020-04-04,2020-04-04,2020-04-19,USD,RV,28375.48,20200404.0,NAA8,1930748201.0,0,2020-04-19,null
112,112,U001,200769623,WAL-MAR associates,,2020.0,1930759167.0,2020-04-08,2020-04-07,2020-04-08,2020-04-23,USD,RV,661.11,20200408.0,NAH4,1930759167.0,2,2020-04-25,+ve
113,113,U001,0200769623,WAL-MAR foundation,,2020.0,1930652600.0,2020-03-15,2020-03-14,2020-03-15,2020-03-30,USD,RV,17012.14,20200315.0,NAH4,1930652600.0,1,2020-03-31,+ve
114,114,U001,0200396637,LAWL foundation,,2020.0,1930633684.0,2020-03-09,2020-03-10,2020-03-09,2020-04-08,USD,RV,52901.64,20200309.0,NAD5,1930633684.0,1,2020-04-09,+ve
115,115,U001,0200704858,WAKE trust,,2020.0,1930582401.0,2020-03-01,2020-02-29,2020-03-01,2020-03-16,USD,RV,102329.66,20200301.0,NAA8,1930582401.0,0,2020-03-16,null
116,116,U001,0200776463,KROGE corp,,2020.0,1930606293.0,2020-03-05,2020-03-06,2020-03-05,2020-03-20,USD,RV,514.73,20200305.0,NAA8,1930606293.0,0,2020-03-20,null
117,117,U001,0200020431,DEC co,,2020.0,1930767547.0,2020-04-09,2020-04-09,2020-04-09,2020-04-11,USD,RV,19031.5,20200401.0,NAM2,1930767547.0,1,2020-04-12,+ve
118,118,U001,0200772670,ASSOCIAT associates,,2020.0,1930808542.0,2020-04-21,2020-04-21,2020-04-21,2020-05-06,USD,RV,94928.97,20200421.0,NAU5,1930808542.0,1,2020-05-07,+ve
119,119,U001,0200769623,WAL-MAR corp,,2020.0,1930780002.0,2020-04-14,2020-04-12,2020-04-14,2020-04-29,USD,RV,7839.78,20200414.0,NAH4,1930780002.0,1,2020-04-30,+ve
120,120,U001,0200769623,WAL-MAR co,,2020.0,1930620480.0,2020-03-07,2020-03-07,2020-03-07,2020-03-22,USD,RV,2765.94,20200307.0,NAH4,1930620480.0,1,2020-03-23,+ve
121,121,U001,200769623,WAL-MAR corporation,,2020.0,1930879796.0,2020-05-09,2020-05-08,2020-05-09,2020-05-24,USD,RV,11448.02,20200509.0,NAH4,1930879796.0,2,2020-05-26,+ve
122,122,U001,0200769623,WAL-MAR llc,,2020.0,1930821989.0,2020-04-24,2020-04-24,2020-04-24,2020-05-09,USD,RV,8632.43,20200424.0,NAH4,1930821989.0,1,2020-05-10,+ve
123,123,U001,0200794332,COST associates,,2020.0,1930829872.0,2020-04-28,2020-04-27,2020-04-28,2020-05-13,USD,RV,27592.19,20200428.0,NAAX,1930829872.0,1,2020-05-14,+ve
124,124,CA02,140104429,COSTCO ,,2020.0,2960623606.0,2020-03-23,2020-03-23,2020-03-23,2020-04-02,CAD,RV,54251.8,20200323.0,CA10,2960623606.0,-4,2020-03-29,null
125,125,U001,0200418007,AM systems,,2020.0,1930740837.0,2020-04-05,2020-04-03,2020-04-05,2020-04-20,USD,RV,8578.44,20200405.0,NAA8,1930740837.0,0,2020-04-20,null
126,126,U001,0200762301,C&S WH us,,2020.0,1930767199.0,2020-04-10,2020-04-09,2020-04-10,2020-04-25,USD,RV,20445.58,20200410.0,NAC6,1930767199.0,1,2020-04-26,+ve
127,127,CA02,0140104429,COSTCO in,,2020.0,2960628798.0,2020-04-20,2020-04-20,2020-04-20,2020-05-01,CAD,RV,14585.08,20200421.0,CA10,2960628798.0,-4,2020-04-27,null
128,128,U001,0200704858,WAKE corporation,,2020.0,1930779914.0,2020-04-14,2020-04-12,2020-04-14,2020-04-29,USD,RV,21428.66,20200414.0,NAA8,1930779914.0,0,2020-04-29,null
129,129,U001,0200704858,WAKE us,,2020.0,1930652941.0,2020-03-16,2020-03-14,2020-03-16,2020-03-31,USD,RV,146275.73,20200316.0,NAA8,1930652941.0,0,2020-03-31,null
130,130,U001,0200769623,WAL-MAR co,,2020.0,1930623530.0,2020-03-11,2020-03-09,2020-03-11,2020-03-26,USD,RV,9579.37,20200311.0,NAH4,1930623530.0,1,2020-03-27,+ve
131,131,U001,0200707822,PUBLI corporation,,2020.0,1930779964.0,2020-04-12,2020-04-13,2020-04-12,2020-04-27,USD,RV,33035.53,20200412.0,NAA8,1930779964.0,0,2020-04-27,null
132,132,U001,0200573068,GROCE us,,2020.0,1930577914.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,19848.78,20200227.0,NAA8,1930577914.0,0,2020-03-13,null
133,133,U001,0200739534,OK systems,,2020.0,1930708543.0,2020-03-27,2020-03-26,2020-03-27,2020-04-11,USD,RV,123106.91,20200327.0,NAA8,1930708543.0,0,2020-04-11,null
134,134,CA02,0140104409,LOB foundation,,2020.0,2960621917.0,2020-03-16,2020-03-16,2020-03-16,2020-03-26,CAD,RV,70168.2,20200316.0,CA10,2960621917.0,-3,2020-03-23,null
